Date, Close_PFE , High_PFE , Low_PFE , Open_PFE , Volume_PFE ,return_PFE
1/1/1985, $0.4184 , $0.4462 , $0.4091 , $0.4449 ," $265,858,430.0000 ",
2/1/1985, $0.4304 , $0.4370 , $0.4023 , $0.4210 ," $263,516,019.0000 ",2.86%
3/1/1985, $0.4584 , $0.4691 , $0.4237 , $0.4344 ," $259,807,627.0000 ",6.52%
4/1/1985, $0.4758 , $0.4825 , $0.4464 , $0.4584 ," $214,798,454.0000 ",3.79%
5/1/1985, $0.5346 , $0.5440 , $0.4651 , $0.4771 ," $294,141,889.0000 ",12.36%
6/1/1985, $0.5333 , $0.5522 , $0.5051 , $0.5414 ," $217,135,806.0000 ",-0.24%
7/1/1985, $0.5199 , $0.5791 , $0.5091 , $0.5320 ," $242,340,741.0000 ",-2.53%
8/1/1985, $0.5224 , $0.5400 , $0.5075 , $0.5265 ," $178,400,040.0000 ",0.48%
9/1/1985, $0.5142 , $0.5319 , $0.4776 , $0.5237 ," $202,669,021.0000 ",-1.56%
10/1/1985, $0.4966 , $0.5319 , $0.4749 , $0.5156 ," $273,793,788.0000 ",-3.43%
11/1/1985, $0.5794 , $0.5848 , $0.4980 , $0.4980 ," $249,798,000.0000 ",16.67%
12/1/1985, $0.5536 , $0.6151 , $0.5194 , $0.5823 ," $310,053,070.0000 ",-4.44%
1/1/1986, $0.5290 , $0.5796 , $0.5058 , $0.5536 ," $410,769,097.0000 ",-4.44%
2/1/1986, $0.6109 , $0.6192 , $0.5309 , $0.5337 ," $299,755,071.0000 ",15.48%
3/1/1986, $0.6633 , $0.6730 , $0.5709 , $0.6137 ," $296,266,752.0000 ",8.58%
4/1/1986, $0.6536 , $0.7157 , $0.6109 , $0.6633 ," $206,068,804.0000 ",-1.46%
5/1/1986, $0.6936 , $0.7033 , $0.6330 , $0.6523 ," $187,339,645.0000 ",6.12%
6/1/1986, $0.7943 , $0.8040 , $0.6735 , $0.6998 ," $242,687,293.0000 ",14.51%
7/1/1986, $0.7415 , $0.8095 , $0.7109 , $0.7929 ," $251,874,802.0000 ",-6.64%
8/1/1986, $0.7600 , $0.7950 , $0.7377 , $0.7461 ," $160,414,586.0000 ",2.50%
9/1/1986, $0.6483 , $0.7628 , $0.6315 , $0.7614 ," $297,005,397.0000 ",-14.71%
10/1/1986, $0.6678 , $0.6916 , $0.6287 , $0.6539 ," $230,775,408.0000 ",3.02%
11/1/1986, $0.6818 , $0.7014 , $0.6483 , $0.6706 ," $171,582,770.0000 ",2.09%
12/1/1986, $0.6864 , $0.7258 , $0.6695 , $0.6836 ," $219,556,631.0000 ",0.68%
1/1/1987, $0.7624 , $0.7807 , $0.6878 , $0.6878 ," $311,831,382.0000 ",11.07%
2/1/1987, $0.8257 , $0.8724 , $0.7605 , $0.7633 ," $267,462,197.0000 ",8.30%
3/1/1987, $0.8200 , $0.8639 , $0.8002 , $0.8257 ," $297,463,253.0000 ",-0.69%
4/1/1987, $0.7988 , $0.8568 , $0.7336 , $0.8129 ," $270,897,394.0000 ",-2.59%
5/1/1987, $0.7379 , $0.8073 , $0.6911 , $0.7973 ," $225,658,031.0000 ",-7.62%
6/1/1987, $0.8212 , $0.8440 , $0.7356 , $0.7485 ," $223,925,251.0000 ",11.29%
7/1/1987, $0.8426 , $0.8582 , $0.7998 , $0.8226 ," $192,285,012.0000 ",2.60%
8/1/1987, $0.8119 , $0.8779 , $0.8119 , $0.8435 ," $228,463,352.0000 ",-3.63%
9/1/1987, $0.7947 , $0.8349 , $0.7689 , $0.8134 ," $224,717,016.0000 ",-2.12%
10/1/1987, $0.6039 , $0.7990 , $0.4935 , $0.7919 ," $452,307,657.0000 ",-24.01%
11/1/1987, $0.5293 , $0.6341 , $0.5250 , $0.6011 ," $232,070,563.0000 ",-12.35%
12/1/1987, $0.5398 , $0.6136 , $0.4775 , $0.5441 ," $377,479,562.0000 ",1.97%
1/1/1988, $0.6324 , $0.6353 , $0.5484 , $0.5499 ," $327,259,411.0000 ",17.16%
2/1/1988, $0.6295 , $0.6396 , $0.5803 , $0.6353 ," $177,656,338.0000 ",-0.46%
3/1/1988, $0.6443 , $0.6721 , $0.6253 , $0.6312 ," $262,595,249.0000 ",2.36%
4/1/1988, $0.6428 , $0.7042 , $0.6282 , $0.6458 ," $273,275,218.0000 ",-0.23%
5/1/1988, $0.6092 , $0.6575 , $0.5639 , $0.6428 ," $206,918,753.0000 ",-5.23%
6/1/1988, $0.6094 , $0.6404 , $0.5902 , $0.6227 ," $199,775,159.0000 ",0.03%
7/1/1988, $0.6065 , $0.6227 , $0.5858 , $0.6065 ," $219,637,579.0000 ",-0.48%
8/1/1988, $0.6051 , $0.6349 , $0.5946 , $0.6155 ," $209,387,642.0000 ",-0.23%
9/1/1988, $0.6483 , $0.6572 , $0.5961 , $0.6036 ," $172,035,568.0000 ",7.14%
10/1/1988, $0.6811 , $0.7183 , $0.6438 , $0.6528 ," $192,866,824.0000 ",5.06%
11/1/1988, $0.6766 , $0.6870 , $0.6468 , $0.6826 ," $145,621,483.0000 ",-0.66%
12/1/1988, $0.6978 , $0.7189 , $0.6708 , $0.6828 ," $164,742,728.0000 ",3.14%
1/1/1989, $0.6933 , $0.7069 , $0.6662 , $0.6948 ," $199,499,433.0000 ",-0.65%
2/1/1989, $0.6698 , $0.7169 , $0.6561 , $0.6971 ," $232,166,690.0000 ",-3.39%
3/1/1989, $0.6986 , $0.6986 , $0.6622 , $0.6743 ," $181,169,950.0000 ",4.31%
4/1/1989, $0.7518 , $0.7564 , $0.6971 , $0.7002 ," $205,780,431.0000 ",7.61%
5/1/1989, $0.7412 , $0.7807 , $0.7321 , $0.7472 ," $180,717,154.0000 ",-1.41%
6/1/1989, $0.7031 , $0.7660 , $0.6909 , $0.7476 ," $283,150,777.0000 ",-5.13%
7/1/1989, $0.7966 , $0.8012 , $0.7031 , $0.7062 ," $202,959,925.0000 ",13.29%
8/1/1989, $0.8566 , $0.8628 , $0.7762 , $0.8025 ," $243,587,832.0000 ",7.54%
9/1/1989, $0.8489 , $0.8752 , $0.8180 , $0.8613 ," $225,055,985.0000 ",-0.90%
10/1/1989, $0.8365 , $0.8613 , $0.7793 , $0.8443 ," $204,786,298.0000 ",-1.46%
11/1/1989, $0.9169 , $0.9293 , $0.8242 , $0.8443 ," $299,256,737.0000 ",9.61%
12/1/1989, $0.8665 , $0.9444 , $0.8150 , $0.9241 ," $287,453,627.0000 ",-5.50%
1/1/1990, $0.8540 , $0.9039 , $0.8337 , $0.8680 ," $226,449,793.0000 ",-1.44%
2/1/1990, $0.7356 , $0.8727 , $0.6795 , $0.8602 ," $641,015,818.0000 ",-13.87%
3/1/1990, $0.7624 , $0.7781 , $0.7263 , $0.7451 ," $356,539,532.0000 ",3.65%
4/1/1990, $0.7137 , $0.7530 , $0.7105 , $0.7326 ," $316,662,915.0000 ",-6.39%
5/1/1990, $0.8284 , $0.8332 , $0.6917 , $0.7137 ," $349,565,425.0000 ",16.08%
6/1/1990, $0.8145 , $0.8462 , $0.7923 , $0.8447 ," $246,744,772.0000 ",-1.68%
7/1/1990, $0.9622 , $0.9685 , $0.8097 , $0.8193 ," $370,831,771.0000 ",18.13%
8/1/1990, $0.9018 , $0.9606 , $0.8177 , $0.9590 ," $278,865,633.0000 ",-6.27%
9/1/1990, $0.9045 , $0.9381 , $0.8677 , $0.9045 ," $198,947,982.0000 ",0.30%
10/1/1990, $0.9317 , $1.0150 , $0.9013 , $0.9205 ," $386,082,729.0000 ",3.01%
11/1/1990, $1.0342 , $1.0374 , $0.9189 , $0.9397 ," $280,325,212.0000 ",11.00%
12/1/1990, $1.0425 , $1.0555 , $1.0087 , $1.0490 ," $223,553,401.0000 ",0.81%
1/1/1991, $1.1604 , $1.1604 , $0.9489 , $1.0377 ," $340,094,599.0000 ",11.30%
2/1/1991, $1.3556 , $1.3798 , $1.1458 , $1.1587 ," $281,916,332.0000 ",16.83%
3/1/1991, $1.3904 , $1.4197 , $1.2978 , $1.3579 ," $215,828,002.0000 ",2.57%
